customer_id,customer_first_name,customer_last_name,customer_revenue
8,Megan,Smith,353.93
14,Katherine,Smith,704.93
17,Mary,Robinson,569.95
18,Robert,Smith,1309.85
26,Johnny,Hood,699.96
28,Timothy,Smith,59.99
38,Mary,Smith,1209.83
42,Ethan,Smith,559.94
43,Mary,Herring,119.98
51,Jessica,Smith,59.99
55,Janet,Farley,175.95
59,Douglas,James,149.94
70,Mary,Simmons,1009.93
73,Mary,Smith,549.98
79,Mary,Watkins,915.93
85,Mary,Perez,599.9
88,Mary,Henry,889.95
95,Susan,Williams,1054.88
100,George,Barrett,449.98
105,Mary,Smith,299.98
109,Mary,Thompson,709.88
119,Mary,Rosario,369.98
122,Karen,Smith,674.86
127,Mary,Martin,129.99
141,Mary,Mcmahon,1499.93
146,Amber,Mercado,599.95
149,Shirley,Mcclain,759.95
154,Emily,May,129.99
166,Steven,Smith,189.98
173,Jose,Smith,1179.95
174,Mary,Perez,349.93
190,Mary,Hayes,503.9
192,Mary,Hall,1179.87
195,Richard,Smith,155.97
206,Mary,West,379.99
209,Thomas,Moore,439.94
212,Roger,Johnson,19.99
222,Frank,Ruiz,89.97
225,Megan,Watson,1317.83
229,Mary,Garrett,1199.91
238,Charles,Turner,1114.86
251,Kelly,Adams,599.96
254,Diana,Hale,279.97
255,Mary,Smith,1149.89
256,David,Rodriguez,199.92
264,Mary,Smith,259.98
266,Mary,Knapp,329.97
267,Richard,Smith,389.89
279,Anna,Smith,124.97
280,Mary,Ortiz,1229.85
282,Zachary,Pugh,359.97
286,Mary,Baker,529.87
287,Andrew,Salazar,759.95
290,Mary,Garza,679.84
316,Mary,Smith,429.97
319,Arthur,Brown,399.99
320,Mary,Brooks,179.97
332,Mary,Smith,599.9
333,Elizabeth,Ferguson,829.94
335,Mary,Smith,289.98
338,Ryan,Smith,299.98
346,Edward,Stephens,399.98
351,John,Singh,439.94
353,Mary,Smith,429.97
354,Edward,Peterson,649.95
357,Mary,King,419.93
363,Jennifer,Obrien,1199.79
372,Mary,Smith,629.92
374,Mary,Camacho,1109.86
377,Mary,Smith,1043.86
384,Mildred,Cunningham,639.95
387,Mary,Levy,589.82
393,Mary,Chambers,879.95
398,Teresa,Smith,849.96
399,Mary,Perez,379.89
404,Mary,Adkins,644.9
409,Kevin,Smith,649.82
419,James,Smith,279.97
426,Susan,Smith,1029.92
427,Paul,Brown,799.88
430,Mary,Smith,569.93
433,Mary,Smith,299.98
434,Michael,Torres,299.98
438,Diane,Smith,649.89
439,Rose,Delgado,1619.87
442,Mary,Smith,119.98
444,Walter,Lambert,399.91
450,Kathryn,Carter,50.0
451,Mary,Baldwin,599.92
452,Carl,Smith,309.99
455,Jeffrey,Smith,259.98
456,Douglas,Turner,229.95
457,Mary,Smith,129.99
458,Charles,Spencer,829.85
465,Shawn,Smith,119.98
470,Mary,Cannon,500.0
475,Brittany,Gibbs,1119.89
483,Mary,Smith,969.97
489,William,Smith,59.99
491,Debra,Smith,199.99
